antoinette	35498
tuff	33412
school	16944
hero	10085
shooting	7582
woman	7190
911	5783
gunman	4757
georgia	4616
meet	4393
prevented	4178
mass	3851
yesterday	3416
shooter	3221
talked	3157
clerk	3111
tuffs	2629
courage	2560
gun	2550
obama	2502
thank	2292
god	2195
ga	2082
amazing	2038
amp	1834
dispatcher	1817
just	1741
bookkeeper	1688
story	1637
guy	1553
called	1521
like	1369
love	1358
elementary	1321
good	1296
saved	1279
true	1276
president	1224
lives	1215
kendra	1200
stopped	1151
you	1127
operator	1117
bad	1114
wow	1106
compassion	1100
today	1072
meets	1053
talking	1036
armed	958
#antoinettetuff	956
black	943
emotions	942
atlanta	941
flowed	940
talks	909
medal	892
bless	885
kids	865
saving	856
htt	831
hailed	813
thursday	805
stop	799
heroic	796
children	795
talk	784
tape	765
did	765
brave	764
#stopandfrisk	764
#citizenradio	763
exported	756
detroit	754
listen	754
privacy	753
disappearing	753
ms	733
people	733
heroism	732
#hero	728
nra	727
pres	701
hate	690
interview	676
man	652
m	645
real	627
freedom	620
shes	619
award	616
day	605
incredible	603
her	601
bigots	598
ordeal	586
dont	585
inspiring	583
suspect	576
life	575
id	573
stops	571
convinced	567
need	566
tonight	555
deserves	549
american	538
w	532
its	526
calm	516
this	515
isnt	513
lady	513
new	513
ak47	509
hostage	499
call	498
surrendering	493
surrender	483
time	483
800	481
decatur	480
words	468
calmly	463
news	463
mee	463
thing	460
way	457
used	455
weapon	451
world	450
video	444
schools	440
mccray	437
heard	436
cnn	432
know	432
using	431
wouldbe	430
right	420
heroine	418
secretary	414
beautiful	414
mcnair	409
it	402
sign	401
petition	400
up	400
help	399
i	391
year	391
listening	390
great	383
tragedy	380
im	373
heart	372
white	370
got	366
presidential	366
hundreds	364
make	363
knees	363
tremble	362
standoff	362
person	361
giving	359
lot	356
killing	351
women	351
definition	351
held	349
stares	348
awesome	340
america	338
effort	335
remarkable	334
faith	330
trained	328
empathy	327
say	326
pressure	326
hour	325
averted	325
#nra	322
best	322
think	320
a	320
#lastword	318
guns	317
bravery	315
watch	315
audio	314
remember	312
truly	310
ago	310
honor	309
courageous	309
book	305
shows	303
2	301
survived	298
barrel	297
learn	297
#p2	297
poise	294
hill	292
said	288
wayne	287
reveals	287
photo	287
situation	286
interviewed	284
visit	283
#tuff	280
week	276
rounds	276
o	276
me	273
happen	270
hear	270
gt	267
fu	264
example	261
reunites	260
didnt	258
heroes	256
extraordinary	256
saves	255
look	255
guest	254
weapons	254
going	253
human	253
portrait	252
instead	251
says	248
helped	245
details	241
describes	240
michael	239
action	237
down	237
lapierre	236
dekalb	235
upset	235
exclusive	232
strength	231
power	230
really	230
t	229
anderson	228
thanks	225
tough	223
potential	222
grace	221
needs	221
want	220
phones	220
intelligence	219
showed	218
now	218
massacre	218
whats	218
yes	218
thats	216
emotional	215
that	215
500	214
fortunately	214
believes	212
point	211
office	210
hope	210
union	210
were	210
et	208
4	205
state	205
special	205
ppl	204
8	203
wasnt	203
save	203
students	202
brother	202
awe	202
lay	201
amen	201
read	200
singlehandedly	200
tell	200
politics	200
#antoinette	199
face	199
missing	197
pm	197
atl	197
brandon	195
humanity	195
the	193
stopping	190
pain	189
million	189
#cnn	189
proud	189
destiny	189
lets	189
schoo	188
purpose	187
prevent	186
received	186
confrontation	183
single	183
kind	182
took	181
persuaded	180
dollars	180
#tcot	180
kindness	179
sit	178
believe	178
company	178
angel	176
thanked	174
trending	173
praise	172
abt	172
feet	171
rubbed	171
prepared	169
fund	169
so	168
#sotu	168
listened	166
near	166
tears	166
knew	166
watching	165
house	164
tells	164
including	161
handling	161
reading	160
recognize	160
worker	159
name	159
jesus	158
u	157
gets	157
puts	156
proof	156
push	155
police	155
morning	155
lessons	155
surviving	155
#whatwillittake	154
gary	153
saw	152
credited	151
shooters	151
able	149
justinspiring	149
young	147
batman	147
3	147
cared	147
parts	145
past	145
younge	145
baby	144
helping	144
treats	143
hug	142
vmas	142
check	140
captured	140
moving	140
shootings	139
taken	139
proves	139
academy	138
fired	138
crisis	138
via	137
word	137
unarmed	137
all	137
s	137
money	136
employee	136
h	136
inspired	136
cant	135
displayed	135
living	135
#guncontrol	134
care	134
intv	134
compassionate	133
big	133
shoot	133
him	132
strong	131
wonderful	130
thx	130
miss	130
makes	130
tal	130
cool	130
live	129
named	129
#cnnheroes	128
shame	127
rarely	127
receives	126
mt	126
calls	126
wo	125
ak	125
spirit	125
cooper	123
#news	123
better	122
is	122
job	122
lt	121
for	121
preventing	120
maam	120
keeper	120
final	119
post	119
we	118
learning	118
lap	118
la	118
